2019-10-25 11:17:57,148 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 11:17:57,148 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 11:17:57,150 | INFO | c.e.d.c.CartController | [main] | user creation success : with username : udacity | 
2019-10-25 11:26:51,103 | INFO | c.e.d.AuthenticationTest | [main] | Starting AuthenticationTest on PH-MTHAKUR with PID 22532 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 11:26:51,117 | DEBUG | c.e.d.AuthenticationTest | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 11:26:51,118 | INFO | c.e.d.AuthenticationTest | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 11:26:58,201 | INFO | c.e.d.AuthenticationTest | [main] | Started AuthenticationTest in 7.411 seconds (JVM running for 9.099) | 
2019-10-25 11:26:58,761 | DEBUG | c.e.d.c.CartController | [http-nio-auto-1-exec-1] | create user request : udacity | 
2019-10-25 11:26:59,063 | INFO | c.e.d.c.CartController | [http-nio-auto-1-exec-1] | user creation success : with username : udacity | 
2019-10-25 11:26:59,453 | INFO | c.e.d.c.CartController | [main] | Item added to cart successfully with item id : 1 | 
2019-10-25 11:26:59,461 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 11:26:59,465 | INFO | c.e.d.c.CartController | [main] | Item removed from cart with id : 2 | 
2019-10-25 11:26:59,465 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 11:26:59,520 | INFO | c.e.d.ECommerceApplicationTests | [main] | Starting ECommerceApplicationTests on PH-MTHAKUR with PID 22532 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 11:26:59,521 | DEBUG | c.e.d.ECommerceApplicationTests | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 11:26:59,521 | INFO | c.e.d.ECommerceApplicationTests | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 11:27:01,737 | INFO | c.e.d.ECommerceApplicationTests | [main] | Started ECommerceApplicationTests in 2.251 seconds (JVM running for 12.635) | 
2019-10-25 11:27:01,753 | DEBUG | c.e.d.c.ItemController | [main] | fetching item by name : item | 
2019-10-25 11:27:01,755 | DEBUG | c.e.d.c.ItemController | [main] | fetching item with id : 1 | 
2019-10-25 11:27:01,814 | INFO | c.e.d.c.CartController | [main] | submit order success : with id : null | 
2019-10-25 11:27:01,814 | INFO | c.e.d.c.CartController | [main] | submit order failed for user username : null | 
2019-10-25 11:27:01,816 | DEBUG | c.e.d.c.CartController | [main] | get order success with username : udacity | 
2019-10-25 11:27:01,816 | INFO | c.e.d.c.CartController | [main] | get order failed for user username : null | 
2019-10-25 11:27:01,844 | DEBUG | c.e.d.c.CartController | [main] | Find user by username : udacity | 
2019-10-25 11:27:01,846 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 11:27:01,846 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 11:27:01,846 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 11:27:01,846 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 11:27:01,846 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 11:27:01,849 | INFO | c.e.d.c.CartController | [main] | user creation success : with username : udacity | 
2019-10-25 15:28:37,752 | INFO | c.e.d.AuthenticationTest | [main] | Starting AuthenticationTest on PH-MTHAKUR with PID 27700 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 15:28:37,765 | DEBUG | c.e.d.AuthenticationTest | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
